ProductoID,Marca,Descripción,DescripciónID,Tamaño,TamañoID
20406863641,20406,Tenuta Santo Pietro Percept,8636,750mL,41
20407750141,20407,Riondo Blu Prosecco,7501,750mL,41
20409655241,20409,NxNW Red Columbia Valley,6552,750mL,41
20413688441,20413,Pepperjack Barossa Red,6884,750mL,41
20416480441,20416,Januik Cab Svgn Columbia Vly,4804,750mL,41
20419824541,20419,Spalletti Toscana Rosso Palz,8245,750mL,41
20420923041,20420,Vigne A Porrona Rosso,9230,750mL,41
20422570141,20422,M Chiarlo Barberesco Anni 09,5701,750mL,41
20424921041,20424,Viberti Barolo Rsv 06 Volta,9210,750mL,41
20425350241,20425,Fattoria Pagliaatura Verm 11,3502,750mL,41
20426350141,20426,Fattoria Illario Rose,3501,750mL,41
20427350041,20427,Fattoria Heba Marellino 11,3500,750mL,41
20428350341,20428,Fattoria Poggio Red 10,3503,750mL,41
20429163741,20429,Carpineto Montepulciano 11,1637,750mL,41
20431480541,20431,Januik Muscat Canelli Champx,4805,750mL,41
20439895641,20439,Torremoron Tinto,8956,750mL,41
20442922841,20442,Vigna Magana Dignus,9228,750mL,41
20448548032,20448,Liberty Creek Chard Tetra Pk,5480,500mL,32
20449548132,20449,Liberty Creek Merlot Tetra P,5481,500mL,32
20450547932,20450,Liberty Creek Cab Svgn Tetra,5479,500mL,32
20454804427,20454,Simi Cab Svgn Alexander Vly,8044,3L,27
20456320441,20456,Duck Commander Wood Duck,3204,750mL,41
20457320341,20457,Duck Commander Miss Priss,3203,750mL,41
20459428041,20459,Hardys Nottage Hill Chard,4280,750mL,41
20465674541,20465,Pali Wine Co Pnt Nr Durell,6745,750mL,41
20466674641,20466,Pali Wine Co Pnt Nr Fiddlstx,6746,750mL,41
20467674441,20467,Pali Wine Co Chard Durell Vy,6744,750mL,41
20471932541,20471,Viu Manet Rsva Chard,9325,750mL,41
20472932341,20472,Viu Manent Rsva Cab Svgn,9323,750mL,41
20473932641,20473,Viu Manet Rsva Merlot,9326,750mL,41
20475431541,20475,Hayes Valley Cab Svgn CC,4315,750mL,41
20477431641,20477,Hayes Valley Chard Monterey,4316,750mL,41
20483489141,20483,Joel Gott Pnt Nr,4891,750mL,41
20491945441,20491,Wild Oats Chard Cntrl Ranges,9454,750mL,41
20492945541,20492,Wild Oats Shiraz Cntrl Range,9455,750mL,41
20498470441,20498,Jacobs Crk Chard Rsv,4704,750mL,41
20503923241,20503,Villa Cornaro Perl Anima,9232,750mL,41
20504422141,20504,Guenoc Cal Chard,4221,750mL,41
20506238341,20506,Citran Haut-Medoc,2383,750mL,41
20507221041,20507,Ch la Pointe Pomerol,2210,750mL,41
20508139841,20508,Calaches Lanessan Haut-Medoc,1398,750mL,41
20509206941,20509,Ch Mylord Cuvee Milady,2069,750mL,41
20512531741,20512,Lacoste Borie Pauillac,5317,750mL,41
20513693041,20513,Petit Caillou St Julien,6930,750mL,41
20514586741,20514,Marquis de Calon St Estephe,5867,750mL,41
20515552824,20515,Lions de Suduiraut Sauternes,5528,375mL,24
20516201041,20516,Ch Le Gay Pomerol,2010,750mL,41
20517430541,20517,Hauts de Smith Rouge Pessac,4305,750mL,41
20519525641,20519,La Croix de Carbonnieux Roug,5256,750mL,41
20520525541,20520,La Croix de Carbonnieux Blnc,5255,750mL,41
20521267041,20521,Croix de Beaucaillou St Juln,2670,750mL,41
20523532141,20523,Lady Lola White,5321,750mL,41
20527233641,20527,Christmas Traditions Pnk Mos,2336,750mL,41
20528801541,20528,Sileni Pnt Nr,8015,750mL,41
20532118441,20532,Bread & Butter Pnt Nr,1184,750mL,41
20533118341,20533,Bread & Butter Chard,1183,750mL,41
20534235141,20534,Cielo Pnt Nr,2351,750mL,41
20537878441,20537,The Pass Svgn Bl,8784,750mL,41
20549356041,20549,Fifty Shades Of Grey Wh Silk,3560,750mL,41
20550355941,20550,Fifty Shades Of Grey Red Sat,3559,750mL,41
20551452641,20551,Humble Pie Cab Svgn CC,4526,750mL,41
20552138141,20552,Cafaggio Basilica Chianti Cl,1381,750mL,41
20553303141,20553,Dom Perignon Oeno 96 Silver,3031,750mL,41
20554376438,20554,Franzia Moscato,3764,5L,38
20555736841,20555,Red Newt Clrs Rsl Finger Lak,7368,750mL,41
20557878341,20557,The Other Red,8783,750mL,41
20567874741,20567,The Immortal Zin,8747,750mL,41
20568650141,20568,Ninety+Cellars Lot 94 Cab Sv,6501,750mL,41
20576689241,20576,Peregrine Pnt Nr,6892,750mL,41
20592381641,20592,Fritz Svgn Bl Dry Creek Vly,3816,750mL,41
20594381541,20594,Fritz Pnt Nr RRV,3815,750mL,41
20595381741,20595,Fritz Znfdl Dry Creek Valley,3817,750mL,41
20598689341,20598,Perez Cruz Cab Svgn Rsva,6893,750mL,41
20600351441,20600,Felino Vino Cobos Chard,3514,750mL,41
20601717941,20601,Pulenta Est Chard,7179,750mL,41
20602674041,20602,Pali Pnt Nr Rancho La Vina,6740,750mL,41
20605932141,20605,Viu Manent Cab Svgn La Capil,9321,750mL,41
20608923741,20608,Villa Fassini Sangio/Cab,9237,750mL,41
20610237741,20610,Cistum Grenacha,2377,750mL,41
20614537741,20614,Las Pizarras Garnacha,5377,750mL,41
20625620841,20625,Monte Degli Angeli,6208,750mL,41
20626546441,20626,Les Dauphins Cotes du Rhone,5464,750mL,41
20628242341,20628,Clos Amador Brut Cava,2423,750mL,41
20629242441,20629,Clos Amador Rose Tendre Cava,2424,750mL,41
20632816541,20632,Smoke Stack Svgn Bl,8165,750mL,41
20637640641,20637,Netzl Rosanna Rose,6406,750mL,41
20646706341,20646,Pleasures Chard,7063,750mL,41
20648706441,20648,Pleasures Pnt Nr,7064,750mL,41
20650799210,20650,Sho Chiku Bai Takara Sake,7992,18L,10
20653637641,20653,Natale Verga Prosecco,6376,750mL,41
20654653441,20654,Notarious Cab Svgn,6534,750mL,41
20659870841,20659,The Culprit Red,8708,750mL,41
20660947041,20660,WillM Alsace Rsl,9470,750mL,41
20661673941,20661,Pali Pnt Nr Cargasacchi Vyd,6739,750mL,41
20662924341,20662,Villa Jolanda Xmas Spumante,9243,750mL,41
20664368941,20664,Fonseca Porto 11,3689,750mL,41
20666859841,20666,Taylor Fladgate 11 Port,8598,750mL,41
20668859824,20668,Taylor Fladgate 11 Port,8598,375mL,24
20669266641,20669,Croft Port 11,2666,750mL,41
20670173441,20670,Catena Zapata Nicasia Vyd,1734,750mL,41
20674891841,20674,Tolaini Al Passo Toscana,8918,750mL,41
20689224841,20689,Charles Fournier Rsl,2248,750mL,41
20693279541,20693,Daou Cab Svgn,2795,750mL,41
20699347141,20699,Fantini Monteplciano D'Abruz,3471,750mL,41
20700462941,20700,J Lohr Flume Crossing Svgn B,4629,750mL,41
